income,savings,transactions,expenses
0.4061566178129841,-0.3111566670599755,-1.567065538786032,7144572
0.7250075663797413,0.8572626741672721,0.17218589160911973,8707502
-1.4477027325899412,-0.919295575201739,-0.17566439446991058,5577322
-0.8416634919392998,-0.8194835545091107,0.17218589160911973,7376456
0.07035475322561811,0.9339602908815973,-1.567065538786032,7368932
-0.8630830678839767,-0.7917221978997799,0.17218589160911973,6495054
-0.5784308078903182,0.3453565321423515,0.3461110346486349,7987692
0.6862994128610103,-0.5501667459836205,-1.2192152527070015,7868896
-0.9222875837344908,0.32844743259310233,-0.5235146805489409,5928194
-1.0906587939017032,-1.3383190195812835,1.2157367498462108,6592766
-0.3355190245803928,0.8684218831538887,0.17218589160911973,7599236
0.9841485268913557,-0.9778845302793688,-0.8713649666279712,8666825
-0.15699246467134784,0.18253393714784713,0.3461110346486349,7654475
0.10617952190805681,0.561339247950841,-0.17566439446991058,8295772
-0.12156452482362265,0.9893309107785614,0.6939613207276653,8441760
0.668480880069389,0.5795164548361226,1.7375121789647563,8606483
-0.6734534616072667,0.6846486420660303,-1.3931403957465167,5487656
0.1832311340652872,-0.8193061906366329,-0.0017392514303954235,7989920
-1.1991741380616803,-1.3768073724772687,-0.5235146805489409,5731791
-0.12495134161346537,0.032835696813916196,-0.6974398235884561,6573270
2.3542668969625216,-0.9115099810002205,0.3461110346486349,10297664
0.006287808992939811,-0.002821941977619367,-0.8713649666279712,7131189
0.09197223352488226,0.032541594867721416,0.17218589160911973,7732534
0.22995237369372137,1.161471989629094,0.3461110346486349,8462670
0.21383949080349074,-0.6916444908797275,-1.9149158248650622,7323049
-1.1064105523510892,-1.284197633578365,0.3461110346486349,6375558
0.11102715846990396,-0.16628127074034005,0.3461110346486349,7966379
1.0680349801606182,0.3485457701361404,-0.0017392514303954235,8165747
-1.01744693427368,-1.2504790358826114,0.52003617768815,6845793
0.6340159387305829,0.08855940134840369,0.8678864637671804,8255875
1.8825807401264165,-0.36060037734813233,1.2157367498462108,10850032
2.505840720002761,2.7451767858852025,0.3461110346486349,11058495
-0.2875629229868669,-0.4968541926456938,0.3461110346486349,7773454
-1.4717353601030465,-1.2252287164825921,-0.6974398235884561,6022592
0.22506189185923162,0.7173472174166255,-0.34958953750942573,8558059
-0.32241092146560846,1.037227780533642,0.8678864637671804,7679569
0.21142689390349736,-1.2367399864326178,-0.5235146805489409,7837008
-0.5623143545607007,-1.1425806260498987,2.0853624650437865,7514382
0.31359603708467576,1.6704448932598965,-0.0017392514303954235,8756194
-1.2798711688329176,0.04617213601097361,2.2592876080833015,6456752
-0.08043510333781585,0.17758867790287428,-0.0017392514303954235,8268569
0.518437755400583,-0.8770753875635758,0.17218589160911973,7918517
1.1351311871816814,0.5310593873536266,-0.0017392514303954235,9358479
-0.406975248155609,0.15074348912758018,2.781063037201847,7480397
1.046268561532644,-0.32376575503761784,-0.17566439446991058,9632866
1.6582887982190828,0.5079703297141975,-0.34958953750942573,9225921
-1.4603976848613862,-1.221301505869647,0.3461110346486349,6147291
0.6930959992653256,-0.5718688452120433,-0.34958953750942573,8547354
-0.06769883598203685,-1.087786060848166,-0.0017392514303954235,7032983
-0.9913184588404748,0.5827193734101459,-0.5235146805489409,7119408
-0.24582448655421188,-0.862430584319006,0.3461110346486349,6541263
-0.04238595091734945,0.8535089988717437,-1.2192152527070015,6992313
-0.7413071118411185,-1.2875657502639286,0.3461110346486349,7664100
-1.0401906331681208,-0.7165058939010545,0.6939613207276653,6065706
-0.7207837161825491,0.6409274261818264,-0.0017392514303954235,7300870
-0.30144377119752647,1.0406587334775843,-0.6974398235884561,6627798
1.5467059365630043,2.62921860971495,-1.0452901096674865,9440141
-0.5021075653680117,0.33383143510413626,-1.2192152527070015,6178861
0.6284093287676384,0.029191077260247812,1.3896618928857258,9193025
